Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,560319,501715.35,514567.46,103071.33,125062.97,0,0,-12852.110000000044,3435.7110000000002,-428.40366666666813,March 2022
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,37,1753074,311582.55,356186.27,345903.47,388477.17,0,0,-44603.72000000003,9348.742432432431,-1205.5059459459467,March 2022
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,618499,21425.78,24265.91,87948.43,88587.9,0,0,-2840.130000000001,3257.349259259259,-105.19000000000004,March 2022
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,1054564,11027.48,19973.91,112744.67,114927.57,1,0,-8946.43,5124.757727272728,-406.6559090909091,March 2022
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,416283,32554.08,38040.78,114219.15,115135.63,0,0,-5486.699999999997,5710.9574999999995,-274.33499999999987,March 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,576126,3201.8,12256.71,115856.36,119659.34,0,0,-9054.91,4634.2544,-362.1964,March 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,282861,386.94,1187.34,32983.46,33374.76,4,130.38,-800.3999999999999,2061.46625,-50.02499999999999,March 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,115666,68.87,1136.66,10054.53,10410.51,0,0,-1067.79,773.4253846153847,-82.1376923076923,March 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,24559,15.16,26.94,2523.49,2515.55,0,0,-11.780000000000001,1261.745,-5.890000000000001,March 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,233672,319.84,1204.62,25312.04,25683.59,1,50.0,-884.78,1012.4816000000001,-35.3912,March 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,661554,3576.45,15543.69,130073.36,132661.77,0,0,-11967.240000000002,6193.969523809524,-569.8685714285715,March 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,271688,213.28,611.85,27772.36,27852.85,4,66.25,-398.57000000000005,1851.4906666666668,-26.571333333333335,March 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,331836,871.96,8869.64,93383.33,96623.55,0,0,-7997.679999999999,4244.696818181818,-363.53090909090906,March 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,178641,377.83,878.02,15222.25,15285.79,0,0,-500.19,724.8690476190476,-23.818571428571428,March 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,44766,17.08,90.38,1261.02,1271.55,0,0,-73.3,315.255,-18.325,March 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,262624,4946.3,12284.33,80631.81,80726.78,0,0,-7338.03,6719.3175,-611.5024999999999,March 2022
Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),,,312,7386732,892300.76,1007124.53,1298961.06,1378257.27,10,246.63,-114823.77000000002,4163.336730769231,-368.0249038461539,March 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,3082531,10196.33,501.77,54932.24,50426.89,0,0,9694.56,3923.7314285714283,692.4685714285714,March 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12444858,5297.47,2245.23,226190.66,218707.39,0,0,3052.2400000000002,7296.4729032258065,98.45935483870969,March 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,6729990,4298.01,1133.34,110143.12,105287.34,0,0,3164.67,4079.3748148148147,117.21000000000001,March 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,8705192,3721.3,1528.11,159928.02,154141.32,0,0,2193.1900000000005,6151.077692307692,84.35346153846156,March 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,7870459,2942.44,1246.81,106857.3,102992.22,0,0,1695.63,4452.3875,70.65125,March 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,567533,159.02,109.21,9818.94,9614.67,0,0,49.81000000000002,1227.3675,6.226250000000002,March 2022
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,4022810,1599.62,829.3,78773.52,76436.38,0,0,770.3199999999999,3580.614545454546,35.01454545454545,March 2022
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,5067076,3628.1,1317.71,96710.24,93514.99,0,0,2310.39,3719.6246153846155,88.86115384615384,March 2022
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,117,11894913,5224.1,4916.98,148830.47,144894.14,0,0,307.1200000000008,1272.0552991452992,2.624957264957272,March 2022
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,39,13896408,4078.17,1401.82,147840.97,141776.43,0,0,2676.3500000000004,3790.7941025641026,68.62435897435898,March 2022
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,11648458,5263.4,2714.18,225430.27,217926.75,0,0,2549.22,7271.9441935483865,82.23290322580644,March 2022
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,365,85930228,46407.97,17944.48,1365455.75,1315718.53,0,0,28463.49,3740.9746575342465,77.98216438356165,March 2022
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,504505,664.72,390.67,21073.64,20693.74,1,0,274.05,1003.5066666666667,13.05,March 2022
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,32,5050651,2813.48,1657.41,148518.7,145256.48,2,9.33,1156.07,4641.209375,36.1271875,March 2022
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,25,4245466,4082.97,2363.73,178862.65,176356.43,0,0,1719.2399999999998,7154.505999999999,68.7696,March 2022
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,10,795488,451.93,258.78,19582.47,20325.41,0,0,193.15000000000003,1958.247,19.315000000000005,March 2022
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,25,499685,8226.57,15023.12,95216.57,110447.47,0,0,-6796.550000000001,3808.6628,-271.862,March 2022
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,354715,768.23,917.78,16664.06,16945.1,2,25.81,-149.54999999999995,757.4572727272728,-6.797727272727271,March 2022
Sub Total - III (i+ii+iii+iv+v+vi),,,135,11450510,17007.89,20611.5,479918.1,490024.63,5,35.14,-3603.6100000000006,3554.9488888888886,-26.693407407407413,March 2022
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2684311,202.29,127.25,16405.53,16021.39,0,0,75.03999999999999,656.2212,3.0016,March 2022
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2894434,101.93,36.33,13131.23,12841.65,0,0,65.60000000000001,1313.123,6.5600000000000005,March 2022
Sub Total - IV (i+ii),,,35,5578745,304.22,163.58,29536.76,28863.04,0,0,140.64000000000001,843.9074285714286,4.018285714285715,March 2022
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Index Funds,Open ended Schemes,Other Schemes,93,2469089,13767.07,1453.87,68675.74,58096.85,0,0,12313.2,738.4488172043011,132.4,March 2022
GOLD ETF,Open ended Schemes,Other Schemes,11,4241840,387.63,182.48,19280.89,19369.57,0,0,205.15,1752.8081818181818,18.650000000000002,March 2022
Other ETFs,Open ended Schemes,Other Schemes,124,10541730,11996.46,5089.94,411362.41,397042.89,0,0,6906.5199999999995,3317.4387903225806,55.69774193548387,March 2022
Fund of funds investing overseas,Open ended Schemes,Other Schemes,45,1254895,437.46,457.56,22609.18,21830.65,0,0,-20.100000000000023,502.42622222222224,-0.44666666666666716,March 2022
Sub Total - V (i+ii+iii+iv),,,273,18507554,26588.61,7183.85,521928.23,496339.96,0,0,19404.760000000002,1911.8250183150183,71.07970695970697,March 2022
Total A-Open ended Schemes,,,1120,128853769,982609.45,1053027.93,3695799.89,3709203.43,15,281.77,-70418.47999999998,3299.821330357143,-62.87364285714284,March 2022
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,296,190581,1364.45,566.5,48381.25,48657.62,0,0,797.95,163.4501689189189,2.6957770270270274,March 2022
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,13,30736,0,0,1619.32,1610.48,0,0,0,124.56307692307692,0.0,March 2022
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,2002.7,1990.39,0,0,0,250.3375,0.0,March 2022
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,717,0,0,60.14,59.68,0,0,0,60.14,0.0,March 2022
Sub Total (i+ii+iii+iv),,,318,222114,1364.45,566.5,52063.41,52318.16,0,0,797.95,163.72141509433965,2.5092767295597485,March 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,313073,0,63.73,3752.68,3665.55,0,0,-63.73,197.50947368421052,-3.3542105263157893,March 2022
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,17,112646,0,147.39,4520.05,4556.09,0,0,-147.39,265.88529411764705,-8.67,March 2022
Sub Total (i+ii),,,36,425719,0,211.12,8272.73,8221.63,0,0,-211.12,229.79805555555555,-5.864444444444445,March 2022
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,March 2022
Total B -Close ended Schemes,,,354,647833,1364.45,777.62,60336.14,60539.8,0,0,586.83,170.4410734463277,1.6577118644067799,March 2022
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,March 2022
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,21,3050,85.04,136.67,546.54,552.56,0,0,-51.62999999999998,26.025714285714283,-2.4585714285714277,March 2022
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,March 2022
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,March 2022
Total C Interval Schemes,,,21,3050,85.04,136.67,546.54,552.56,0,0,-51.62999999999998,26.025714285714283,-2.4585714285714277,March 2022
Grand Total,,,1495,129504652,984058.94,1053942.21,3756682.57,3770295.79,15,281.77,-69883.27000000002,2512.8311505016723,-46.74466220735787,March 2022
Fund of Funds Scheme (Domestic) **,,,70,1728324,2170.63,850.21,48361.53,47088.98,0,0,1320.42,690.879,18.863142857142858,March 2022
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,February 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,February 2022
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,31,524639,353798.08,352502.02,115555.27,127886.32,0,0,1296.0599999999977,3727.58935483871,41.80838709677412,February 2022
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,38,1794706,274396.15,234122.83,389305.48,400295.06,0,0,40273.320000000036,10244.88105263158,1059.8242105263168,February 2022
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,623294,15430.26,16745.3,90436.56,92519.74,0,0,-1315.039999999999,3349.502222222222,-48.70518518518515,February 2022
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,1072630,7962.74,12944.28,121216.8,123862.89,2,0,-4981.540000000001,5270.295652173913,-216.58869565217395,February 2022
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,420963,22508.52,23163.84,119233.31,118168.42,0,0,-655.3199999999997,5961.6655,-32.765999999999984,February 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,584821,1965.93,14057.81,124564.17,132256.96,0,0,-12091.88,4790.929615384615,-465.0723076923077,February 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,283631,315.49,1377.36,33842.12,34173.99,3,318.93,-1061.87,2115.1325,-66.366875,February 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,116571,66.38,2973.52,11102.8,11908.73,0,0,-2907.14,854.0615384615384,-223.62615384615384,February 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,24765,6.27,64.44,2550.0,2535.41,0,0,-58.17,1275.0,-29.085,February 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,236499,879.75,2585.0,26199.12,26276.22,1,122.32,-1705.25,1007.6584615384616,-65.58653846153847,February 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,668061,2622.04,12840.78,141569.18,146846.4,0,0,-10218.740000000002,6741.389523809524,-486.60666666666674,February 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,273672,316.18,703.94,28051.63,28129.99,5,162.08,-387.76000000000005,1870.1086666666667,-25.85066666666667,February 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,336854,1762.35,5416.48,101148.39,102912.23,0,0,-3654.1299999999997,4597.654090909091,-166.09681818181818,February 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,180217,491.58,955.64,15691.38,15991.98,0,0,-464.06,747.2085714285714,-22.098095238095237,February 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,45533,23.35,43.16,1335.2,1344.57,0,0,-19.809999999999995,333.8,-4.952499999999999,February 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,268620,3098.47,13421.44,87595.72,94053.74,0,0,-10322.970000000001,7299.643333333333,-860.2475000000001,February 2022
Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),,,317,7455476,685643.56,693917.85,1409397.14,1459162.66,11,603.33,-8274.28999999992,4446.047760252366,-26.10186119873792,February 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,February 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,2651738,1169.11,583.84,42784.36,43982.27,0,0,585.2699999999999,3056.0257142857145,41.80499999999999,February 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,32,12313521,4472.82,2134.24,216794.5,221872.93,0,0,2338.58,6774.828125,73.080625,February 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,6537977,2981.87,946.29,103409.11,105755.04,0,0,2035.58,3829.9670370370372,75.39185185185185,February 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,8539929,3427.45,1473.13,152548.49,155730.28,0,0,1954.3199999999997,5649.944074074074,72.38222222222221,February 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,7648110,2746.25,1316.51,100406.66,103996.06,0,0,1429.74,4183.610833333333,59.5725,February 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,561626,244.6,88.1,9421.98,9536.85,0,0,156.5,1177.7475,19.5625,February 2022
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,3989205,1492.86,655.82,75627.0,77609.63,0,0,837.0399999999998,3437.590909090909,38.04727272727272,February 2022
